"name","splashText","medalText","pointValue","burnPointValue","pointType","displayType","medalIcon","conversation","scaleScoreForAutoTitan"
"TeamBonusKilledAll","#SCORE_EVENT_TEAM_BONUS_KILLED_ALL_COMBATANTS","#SCORE_EVENT_TEAM_BONUS_KILLED_ALL_COMBATANTS","POINTVALUE_FULL_TEAM_KILL","","","MEDAL","rui/medals/kill_multiple","",0
"TitanAssist","#MEDAL_ASSIST_TITAN","#MEDAL_ASSIST_TITAN","POINTVALUE_ASSIST_TITAN","","","MEDAL GAMEMODE","rui/medals/kill_robot","",0
"TitanCoreEarned","#SCORE_EVENT_CORE_EARNED","#SCORE_EVENT_CORE_EARNED","POINTVALUE_CALLED_IN_TITAN","","","CALLINGCARD MEDAL","rui/medals/titanfall","",0
"Titanfall","#SCORE_EVENT_TITANFALL","#SCORE_EVENT_TITANFALL","POINTVALUE_CALLED_IN_TITAN","","","CALLINGCARD MEDAL","rui/medals/titanfall","",0
"TripleKill","#SCORE_EVENT_TRIPLE_KILL","#SCORE_EVENT_TRIPLE_KILL","POINTVALUE_TRIPLEKILL","","","MEDAL","rui/medals/kill_multiple","kc_triplekill",0
"VictoryKill","#SCORE_EVENT_VICTORY_KILL","#SCORE_EVENT_VICTORY_KILL","POINTVALUE_VICTORYKILL","BURN_METER_SMALL_POINT_VALUE","","CALLINGCARD MEDAL GAMEMODE","rui/medals/kill","",0
"FactionLevelUp","","","","","","","","",0
"TitanLevelUp","","","","","","","","",0
"WeaponLevelUp","","","","","","","","",0
"FortWarAssault","#SCORE_EVENT_FW_ASSAULT","#SCORE_EVENT_FW_ASSAULT","POINTVALUE_FW_ASSAULT","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarDefense","#SCORE_EVENT_FW_DEFENSE","#SCORE_EVENT_FW_DEFENSE","POINTVALUE_FW_DEFENSE","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarPerimeterDefense","#SCORE_EVENT_FW_PERIMETER_DEFENSE","#SCORE_EVENT_FW_PERIMETER_DEFENSE","POINTVALUE_FW_PERIMETER_DEFENSE","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarSiege","#SCORE_EVENT_FW_SIEGE","#SCORE_EVENT_FW_SIEGE","POINTVALUE_FW_SIEGE","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarSnipe","#SCORE_EVENT_FW_RANGED_SUPPORT","#SCORE_EVENT_FW_RANGED_SUPPORT","POINTVALUE_FW_SNIPE","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarBaseConstruction","#SCORE_EVENT_FW_BASE_CONSTRUCTION","#SCORE_EVENT_FW_BASE_CONSTRUCTION","POINTVALUE_FW_BASE_CONSTRUCTION","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarForwardConstruction","#SCORE_EVENT_FW_FORWARD_CONSTRUCTION","#SCORE_EVENT_FW_FORWARD_CONSTRUCTION","POINTVALUE_FW_FORWARD_CONSTRUCTION","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarInvasiveConstruction","#SCORE_EVENT_FW_INVASIVE_CONSTRUCTION","#SCORE_EVENT_FW_INVASIVE_CONSTRUCTION","POINTVALUE_FW_INVASIVE_CONSTRUCTION","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarShieldConstruction","#SCORE_EVENT_FW_SHIELD_CONSTRUCTION","#SCORE_EVENT_FW_SHIELD_CONSTRUCTION","POINTVALUE_FW_SHIELD_CONSTRUCTION","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarResourceDenial","#SCORE_EVENT_FW_RESOURCE_DENIAL","#SCORE_EVENT_FW_RESOURCE_DENIAL","POINTVALUE_FW_RESOURCE_DENIAL","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarTowerDamage","#SCORE_EVENT_FW_TOWER_DAMAGE","#SCORE_EVENT_FW_TOWER_DAMAGE","POINTVALUE_FW_TOWER_DAMAGE","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarTowerDefense","#SCORE_EVENT_FW_TOWER_DEFENSE","#SCORE_EVENT_FW_TOWER_DEFENSE","POINTVALUE_FW_TOWER_DEFENSE","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarTeamTurretControlBonus_One","#SCORE_EVENT_FW_TURRET_CONTROL_ONE","#SCORE_EVENT_FW_TURRET_CONTROL_ONE","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",0
"FortWarTeamTurretControlBonus_Two","#SCORE_EVENT_FW_TURRET_CONTROL_TWO","#SCORE_EVENT_FW_TURRET_CONTROL_TWO","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",0
"FortWarTeamTurretControlBonus_Three","#SCORE_EVENT_FW_TURRET_CONTROL_THREE","#SCORE_EVENT_FW_TURRET_CONTROL_THREE","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",0
"FortWarTeamTurretControlBonus_Four","#SCORE_EVENT_FW_TURRET_CONTROL_FOUR","#SCORE_EVENT_FW_TURRET_CONTROL_FOUR","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",0
"FortWarTeamTurretControlBonus_Five","#SCORE_EVENT_FW_TURRET_CONTROL_FIVE","#SCORE_EVENT_FW_TURRET_CONTROL_FIVE","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",0
"FortWarTeamTurretControlBonus_Six","#SCORE_EVENT_FW_TURRET_CONTROL_SIX","#SCORE_EVENT_FW_TURRET_CONTROL_SIX","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",0
"FortWarSecuringGatheredResources","#SCORE_EVENT_FW_SECURING_RESOURCES","#SCORE_EVENT_FW_SECURING_RESOURCES","POINTVALUE_FW_SECURING_RESOURCES","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"FortWarShieldDestroyed","#SCORE_EVENT_FW_DESTROYED_TURRET_SHIELD","#SCORE_EVENT_FW_DESTROYED_TURRET_SHIELD","POINTVALUE_FW_DESTROY_TURRET_SHIELD","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",0
"HuntedEliminatePilot","#SCORE_EVENT_HUNTED_HUNTER_KILLED","#SCORE_EVENT_HUNTED_HUNTER_KILLED","POINTVALUE_HUNTED_ELIMINATE_HUNTER","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",0
"HuntedEliminateGrunt","#SCORE_EVENT_HUNTED_GRUNT_KILLED","#SCORE_EVENT_HUNTED_GRUNT_KILLED","POINTVALUE_HUNTED_ELIMINATE_GRUNT","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",0
"HuntedEliminateSquad","#SCORE_EVENT_HUNTED_SQUAD_KILLED","#SCORE_EVENT_HUNTED_SQUAD_KILLED","POINTVALUE_HUNTED_ELIMINATE_SQUAD","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_multiple","",0
"HuntedAquireAsset","#SCORE_EVENT_HUNTED_AQUIRE_ASSET","#SCORE_EVENT_HUNTED_AQUIRE_ASSET","POINTVALUE_HUNTED_AQUIRE_ASSET","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"HuntedSecureAsset","#SCORE_EVENT_HUNTED_AQUIRE_SECURED","#SCORE_EVENT_HUNTED_AQUIRE_SECURED","POINTVALUE_HUNTED_SECURE_ASSET","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"HuntedExtractAsset","#SCORE_EVENT_HUNTED_AQUIRE_EXTRACTED","#SCORE_EVENT_HUNTED_AQUIRE_EXTRACTED","POINTVALUE_HUNTED_EXTRACT_ASSET","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"HuntedSurvival","#SCORE_EVENT_HUNTED_OBJECTIVE_SURVIVAL","#SCORE_EVENT_HUNTED_OBJECTIVE_SURVIVAL","POINTVALUE_HUNTED_OBJECTIVE_SURVIVAL","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"HuntedMissionSurvival","#SCORE_EVENT_HUNTED_MISSION_SURVIVAL","#SCORE_EVENT_HUNTED_MISSION_SURVIVAL","POINTVALUE_HUNTED_MISSION_SURVIVAL","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"MFDMarked","#SCORE_EVENT_MARKED_FOR_DEATH_TARGET","#SCORE_EVENT_MARKED_FOR_DEATH_TARGET","POINTVALUE_MARKED_TARGET","","","CALLINGCARD MEDAL","rui/medals/titanfall","",0
"BombPlantRaid","#SCORE_EVENT_BOMB_PLANT_POINTS","#SCORE_EVENT_BOMB_PLANT_POINTS","GAMEMODE_RAID_SCORE_PLANT","","ASSAULT","MEDAL GAMEMODE","rui/medals/bomb","",0
"ATCOOPAirDroneKilled","#SCORE_EVENT_AT_AIR_DRONE_KILLED","#SCORE_EVENT_AT_AIR_DRONE_KILLED","ATCOOP_SCORE_AIR_DRONE","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"ATCOOPBossKilled","#SCORE_EVENT_AT_BOSS_KILLED","#SCORE_EVENT_AT_BOSS_KILLED","ATCOOP_SCORE_BOSS","","ASSAULT","CALLINGCARD MEDAL GAMEMODE","rui/medals/kill_robot","",0
"ATCOOPBountySurvived","#SCORE_EVENT_AT_BOUNTY_SURVIVED","#SCORE_EVENT_AT_BOUNTY_SURVIVED","ATCOOP_SCORE_BOUNTY_SURVIVAL","","","ATTRITION MEDAL GAMEMODE","rui/medals/victory","",0
"ATCOOPGruntKilled","#SCORE_EVENT_AT_GRUNT_KILLED","#SCORE_EVENT_AT_GRUNT_KILLED","ATCOOP_SCORE_GRUNT","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",0
"ATCOOPMegaTurretKilled","#SCORE_EVENT_AT_MEGA_TURRET_KILLED","#SCORE_EVENT_AT_MEGA_TURRET_KILLED","ATCOOP_SCORE_MEGATURRET","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"ATCOOPSentryTurretKilled","#SCORE_EVENT_AT_SENTRY_TURRET_KILLED","#SCORE_EVENT_AT_SENTRY_TURRET_KILLED","ATCOOP_SCORE_SENTRYTURRET","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"ATCOOPPilotKilled","#SCORE_EVENT_AT_PILOT_KILLED","#SCORE_EVENT_AT_PILOT_KILLED","ATCOOP_SCORE_PILOT","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",0
"ATCOOPProwlerKilled","#SCORE_EVENT_AT_PROWLER_KILLED","#SCORE_EVENT_AT_PROWLER_KILLED","ATCOOP_SCORE_PROWLER","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",0
"ATCOOPSpectreKilled","#SCORE_EVENT_AT_SPECTRE_KILLED","#SCORE_EVENT_AT_SPECTRE_KILLED","ATCOOP_SCORE_SPECTRE","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"ATCOOPStalkerKilled","#SCORE_EVENT_AT_STALKER_KILLED","#SCORE_EVENT_AT_STALKER_KILLED","ATCOOP_SCORE_STALKER","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"ATCOOPSuperSpectreKilled","#SCORE_EVENT_AT_SUPER_SPECTRE_KILLED","#SCORE_EVENT_AT_SUPER_SPECTRE_KILLED","ATCOOP_SCORE_SUPER_SPECTRE","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"ATCOOPTitanDoomed","#SCORE_EVENT_AT_TITAN_DOOMED","#SCORE_EVENT_AT_TITAN_DOOMED","ATCOOP_SCORE_TITAN","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"ATCOOPTitanKilled","#SCORE_EVENT_AT_TITAN_DOOMED","#SCORE_EVENT_AT_TITAN_DOOMED","ATCOOP_SCORE_TITAN","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"ATCOOPCashedBonus","#SCORE_EVENT_AT_CASHED_BONUS","#SCORE_EVENT_AT_CASHED_BONUS","ATCOOP_SCORE_BONUS","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"ATCOOPBonusStolen","#SCORE_EVENT_AT_BONUS_STOLEN","#SCORE_EVENT_AT_BONUS_STOLEN","ATCOOP_SCORE_BONUS_STOLEN","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"FDAirDroneKilled","#SCORE_EVENT_AT_AIR_DRONE_KILLED","#SCORE_EVENT_AT_AIR_DRONE_KILLED","FD_SCORE_AIR_DRONE","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"FDGruntKilled","#SCORE_EVENT_AT_GRUNT_KILLED","#SCORE_EVENT_AT_GRUNT_KILLED","FD_SCORE_GRUNT","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",0
"FDSpectreKilled","#SCORE_EVENT_AT_SPECTRE_KILLED","#SCORE_EVENT_AT_SPECTRE_KILLED","FD_SCORE_SPECTRE","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"FDStalkerKilled","#SCORE_EVENT_AT_STALKER_KILLED","#SCORE_EVENT_AT_STALKER_KILLED","FD_SCORE_STALKER","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"FDSuperSpectreKilled","#SCORE_EVENT_AT_SUPER_SPECTRE_KILLED","#SCORE_EVENT_AT_SUPER_SPECTRE_KILLED","FD_SCORE_SUPER_SPECTRE","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",0
"FDTitanKilled","#SCORE_EVENT_AT_TITAN_DOOMED","#SCORE_EVENT_AT_TITAN_DOOMED","FD_SCORE_TITAN","","","MEDAL GAMEMODE","rui/medals/kill_robot","",0
"FDEnemiesKilled","#SCORE_EVENT_FD_ENEMIES_KILLED","#SCORE_EVENT_FD_ENEMIES_KILLED","FD_SCORE_ENEMIES","","","MEDAL GAMEMODE","rui/medals/kill","",0
"FDWaveMVP","#SCORE_EVENT_FD_WAVE_MVP","#SCORE_EVENT_FD_WAVE_MVP","FD_SCORE_MVP","","","MEDAL_FORCED GAMEMODE CALLINGCARD","rui/medals/mvp","",0
"FDTeamFinalWave","#SCORE_EVENT_FD_TEAM_FINAL_WAVE","#SCORE_EVENT_FD_TEAM_FINAL_WAVE","FD_SCORE_TEAM_FINAL_WAVE","","","MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"FDTeamWave","#SCORE_EVENT_FD_TEAM_WAVE","#SCORE_EVENT_FD_TEAM_WAVE","FD_SCORE_TEAM_WAVE","","","MEDAL_FORCED GAMEMODE","rui/medals/harvester_protect","",0
"FDTeamFlawlessWave","#SCORE_EVENT_FD_TEAM_FLAWLESS_WAVE","#SCORE_EVENT_FD_TEAM_FLAWLESS_WAVE","FD_SCORE_TEAM_FLAWLESS_WAVE","","","MEDAL_FORCED GAMEMODE","rui/medals/shielded_harvester","",0
"PasTitanHunter","#GEAR_AT_HUNTER_KIT","#GEAR_AT_HUNTER_KIT","","","","MEDAL","rui/medals/kill_robot","",0
"Execution","#SCORE_EVENT_EXECUTION","#SCORE_EVENT_EXECUTION","0","BURN_METER_LARGE_POINT_VALUE","","MEDAL","rui/medals/kill","",0
"FDRepairTurret","#SCORE_EVENT_REPAIR_TURRET","#SCORE_EVENT_REPAIR_TURRET","FD_SCORE_REPAIR_TURRET","","","MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"FDDidntDie","#SCORE_EVENT_DIDNT_DIE","#SCORE_EVENT_DIDNT_DIE","FD_SCORE_DIDNT_DIE","","","MEDAL_FORCED GAMEMODE","rui/medals/heal","",0
"FDShieldHarvester","#SCORE_EVENT_FD_SHIELD_HARVESTER","#SCORE_EVENT_FD_SHIELD_HARVESTER","FD_SCORE_SHIELD_HARVESTER","","","MEDAL GAMEMODE","rui/medals/shielded_harvester","",0
"FDSonarPulse","#SCORE_EVENT_FD_SONAR_PULSE","#SCORE_EVENT_FD_SONAR_PULSE","FD_SCORE_SONAR_PULSE","","","MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"FDArcTrapTriggered","#SCORE_EVENT_FD_ARC_TRAP_TRIGGERED","#SCORE_EVENT_FD_ARC_TRAP_TRIGGERED","FD_SCORE_ARC_TRAP_TRIGGERED","","","MEDAL GAMEMODE","rui/medals/kill_robot","",0
"FDTetherTriggered","#SCORE_EVENT_FD_TETHER_TRAP_TRIGGERED","#SCORE_EVENT_FD_TETHER_TRAP_TRIGGERED","FD_SCORE_TETHER_TRAP_TRIGGERED","","","MEDAL GAMEMODE","rui/medals/kill_robot","",0
"FDArcWave","#SCORE_EVENT_FD_ARC_WAVE","#SCORE_EVENT_FD_ARC_WAVE","FD_SCORE_ARC_WAVE","","","MEDAL GAMEMODE","rui/medals/medal_prototype","",0
"FDTeamHeal","#SCORE_EVENT_FD_TEAM_HEAL","#SCORE_EVENT_FD_TEAM_HEAL","FD_SCORE_TEAM_HEAL","","","MEDAL GAMEMODE","rui/medals/heal","",0
"FDDamageBonus","#SCORE_EVENT_FD_DAMAGE_BONUS","#SCORE_EVENT_FD_DAMAGE_BONUS","FD_SCORE_DAMAGE_BONUS","","","MEDAL_FORCED GAMEMODE SHOW_SCORE","rui/medals/medal_prototype","",0
"FDHealingBonus","#SCORE_EVENT_FD_HEALING_BONUS","#SCORE_EVENT_FD_HEALING_BONUS","FD_SCORE_HEALING_BONUS","","","MEDAL_FORCED GAMEMODE SHOW_SCORE","rui/medals/heal","",0
"FDSupportBonus","#SCORE_EVENT_FD_SUPPORT_BONUS","#SCORE_EVENT_FD_SUPPORT_BONUS","FD_SCORE_SUPPORT_BONUS","","","MEDAL_FORCED GAMEMODE SHOW_SCORE","rui/medals/kill_robot","",0
"Sur_DownedPilot","#SCORE_EVENT_SUR_DOWNED_PILOT_HUD","#SCORE_EVENT_SUR_DOWNED_PILOT","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"Sur_SquadWipe","#SCORE_EVENT_SUR_SQUAD_WIPE","#SCORE_EVENT_SUR_SQUAD_WIPE","SUR_SCORE_SQUAD_WIPE","","","BIG MEDAL CENTER","rui/medals/kill","",0
"Sur_SquadWipeRat","#SCORE_EVENT_SUR_SQUAD_WIPE_RAT","#SCORE_EVENT_SUR_SQUAD_WIPE_RAT","SUR_SCORE_SQUAD_WIPE","","","BIG MEDAL CENTER","rui/medals/kill","",0
"Sur_DownedPilotAssist","#SCORE_EVENT_SUR_DOWNED_ASSIST_HUD","#SCORE_EVENT_SUR_DOWNED_PILOT","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"EliminatePilotAssist","#SCORE_EVENT_ELIMINATED_ASSIST","#MEDAL_ELIMINATED_PILOT","","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_EnemyDowned","#SCORE_EVENT_FS_Scenarios_EnemyDowned","#SCORE_EVENT_FS_Scenarios_EnemyDowned","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_EnemyKilled","#SCORE_EVENT_FS_Scenarios_EnemyKilled","#SCORE_EVENT_FS_Scenarios_EnemyKilled","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_SurvivalTime","#SCORE_EVENT_FS_Scenarios_SurvivalTime","#SCORE_EVENT_FS_Scenarios_SurvivalTime","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_EnemyDoubleDowned","#SCORE_EVENT_FS_Scenarios_EnemyDoubleDowned","#SCORE_EVENT_FS_Scenarios_EnemyDoubleDowned","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_EnemyTripleDowned","#SCORE_EVENT_FS_Scenarios_EnemyTripleDowned","#SCORE_EVENT_FS_Scenarios_EnemyTripleDowned","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_BonusTeamWipe","#SCORE_EVENT_FS_Scenarios_BonusTeamWipe","#SCORE_EVENT_FS_Scenarios_BonusTeamWipe","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_TeamWin","#SCORE_EVENT_FS_Scenarios_TeamWin","#SCORE_EVENT_FS_Scenarios_TeamWin","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_SoloWin","#SCORE_EVENT_FS_Scenarios_SoloWin","#SCORE_EVENT_FS_Scenarios_SoloWin","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_PenaltyDeath","#SCORE_EVENT_FS_Scenarios_PenaltyDeath","#SCORE_EVENT_FS_Scenarios_PenaltyDeath","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_PenaltyRing","#SCORE_EVENT_FS_Scenarios_PenaltyRing","#SCORE_EVENT_FS_Scenarios_PenaltyRing","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_BecomesSoloPlayer","#SCORE_EVENT_FS_Scenarios_BecomesSoloPlayer","#SCORE_EVENT_FS_Scenarios_BecomesSoloPlayer","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_Scenarios_KilledSoloPlayer","#SCORE_EVENT_FS_Scenarios_KilledSoloPlayer","#SCORE_EVENT_FS_Scenarios_KilledSoloPlayer","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_SND_BombPlanted","#SCORE_EVENT_FS_SND_BombPlanted","#SCORE_EVENT_FS_SND_BombPlanted","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"FS_SND_EnemyKilled","#SCORE_EVENT_FS_SND_Player_Killed","#SCORE_EVENT_FS_SND_Player_Killed","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",0
"string","string","string","string","string","string","string","asset_noprecache","string","bool"
